login,password,family_name,preferred_username,given_name,gender,email,birthdate,birthplace,birthcountry
gosselin     ,123,GOSSELIN     ,,FABIEN      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1972-11-28,62261,99100
clercin      ,123,CLERCIN      ,,DAVID       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1972-12-26,62193,99100
accou        ,123,ACCOU        ,,MIKAEL      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1973-01-31,62186,99100
duhem        ,123,DUHEM        ,,STEPHANE    ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1973-06-20,59051,99100
delattre     ,123,DELATTRE     ,,YANNICK     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1973-10-15,62193,99100
bruteyn      ,123,BRUTEYN      ,,MICHAEL     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1974-12-17,62427,99100
oubella      ,123,OUBELLA      ,,RACHID      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1980-02-14,59153,99100
opala        ,123,OPALA        ,,THIERRY     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1984-04-05,62261,99100
olivier      ,123,OLIVIER      ,,JAMES       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1991-10-10,62148,99100
ortolano     ,123,ORTOLANO     ,,GIANNI      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1993-04-19,62119,99100
ocre         ,123,OCRE         ,,JORDAN      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1993-12-10,62498,99100
occre        ,123,OCCRE        ,,BRYAN       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,1996-12-23,62148,99100
ovion        ,123,OVION        ,,CHRISTINE   ,female,BAL-CPF-PREX@caissedesdepots.fr,1960-06-22,62563,99100
obert        ,123,OBERT        ,,CAROLE      ,female,BAL-CPF-PREX@caissedesdepots.fr,1965-08-01,62215,99100
okolski      ,123,OKOLSKI      ,,CHRISTELLE  ,female,BAL-CPF-PREX@caissedesdepots.fr,1966-06-06,59560,99100
odekerken    ,123,ODEKERKEN    ,,MANUELLA    ,female,BAL-CPF-PREX@caissedesdepots.fr,1969-11-04,62178,99100
offre        ,123,OFFRE        ,,CATHERINE   ,female,BAL-CPF-PREX@caissedesdepots.fr,1971-02-13,62065,99100
thelier      ,123,THELIER      ,,CHANTAL     ,female,BAL-CPF-PREX@caissedesdepots.fr,1968-05-17,59350,99100
monnier      ,123,MONNIER      ,,CHRYSTELLE  ,female,BAL-CPF-PREX@caissedesdepots.fr,1968-09-15,59512,99100
pierret      ,123,PIERRET      ,,CAROLINE    ,female,BAL-CPF-PREX@caissedesdepots.fr,1969-07-29,59152,99100
bouchetila   ,123,BOUCHETILA   ,,NASSERA     ,female,BAL-CPF-PREX@caissedesdepots.fr,1970-05-28,59512,99100
segard       ,123,SEGARD       ,,EMILIE      ,female,BAL-CPF-PREX@caissedesdepots.fr,1970-09-20,59350,99100
blin         ,123,BLIN         ,,NATHALIE    ,female,BAL-CPF-PREX@caissedesdepots.fr,1971-02-20,59163,99100
oosthuyse    ,123,OOSTHUYSE    ,,EVELYNE     ,female,BAL-CPF-PREX@caissedesdepots.fr,1971-04-11,59599,99100
pollet       ,123,POLLET       ,,FLORENCE    ,female,BAL-CPF-PREX@caissedesdepots.fr,1973-08-02,59512,99100
lemahieu     ,123,LEMAHIEU     ,,MARIE-NOELLE,female,BAL-CPF-PREX@caissedesdepots.fr,1974-06-16,59599,99100
vercamer     ,123,VERCAMER     ,,AUDREY      ,female,BAL-CPF-PREX@caissedesdepots.fr,1974-11-30,59152,99100
gruson       ,123,GRUSON       ,,STEPHANIE   ,female,BAL-CPF-PREX@caissedesdepots.fr,1974-12-06,59152,99100
delourme     ,123,DELOURME     ,,CELINE      ,female,BAL-CPF-PREX@caissedesdepots.fr,1975-05-19,59512,99100
ouici        ,123,OUICI        ,,NORA        ,female,BAL-CPF-PREX@caissedesdepots.fr,1975-05-08,91521,99100
jartel       ,123,JARTEL       ,,STEPHANIE   ,female,BAL-CPF-PREX@caissedesdepots.fr,1975-10-05,59512,99100
roussel      ,123,ROUSSEL      ,,SEVERINE    ,female,BAL-CPF-PREX@caissedesdepots.fr,1976-06-04,59599,99100
oussans      ,123,OUSSANS      ,,ZULIKA      ,female,BAL-CPF-PREX@caissedesdepots.fr,1976-06-08,62215,99100
ould-bouamama,123,OULD-BOUAMAMA,,SONIA       ,female,BAL-CPF-PREX@caissedesdepots.fr,1976-10-29,62215,99100
