login,password,family_name,preferred_username,given_name,gender,email,birthdate,birthplace,birthcountry
lamy                      ,123,LAMY                      ,,BLANDINE     ,male  ,mcf-test@caissedesdepots.fr,1987-07-12,2A004,99100
da cunha                  ,123,DA CUNHA                  ,,SABRINA      ,female,mcf-test@caissedesdepots.fr,1987-07-22,2A004,99100
francois                  ,123,FRANCOIS                  ,,YOAN         ,male  ,mcf-test@caissedesdepots.fr,1987-07-26,2A004,99100
seguin                    ,123,SEGUIN                    ,,MARGOT       ,female,mcf-test@caissedesdepots.fr,1987-07-04,2A004,99100
lepoultier                ,123,LEPOULTIER                ,,MARIE        ,male  ,mcf-test@caissedesdepots.fr,1987-07-09,2B033,99100
morgo-orella              ,123,MORGO-ORELLA              ,,ALEXANDRE    ,male  ,mcf-test@caissedesdepots.fr,1987-07-16,2B033,99100
tillard                   ,123,TILLARD                   ,,LUCIE        ,male  ,mcf-test@caissedesdepots.fr,1987-07-16,2B033,99100
pepin                     ,123,PEPIN                     ,,DIMITRI      ,male  ,mcf-test@caissedesdepots.fr,1987-07-31,2B033,99100
poirot                    ,123,POIROT                    ,,JEREMIE      ,male  ,mcf-test@caissedesdepots.fr,1987-07-02,2B033,99100
jude                      ,123,JUDE                      ,,MEDERIC      ,female,mcf-test@caissedesdepots.fr,1987-07-29,2B033,99100
zimmermann                ,123,ZIMMERMANN                ,,SYLVAIN      ,male  ,mcf-test@caissedesdepots.fr,1987-07-02,13055,99100
camilleri                 ,123,CAMILLERI                 ,,CELINE       ,male  ,mcf-test@caissedesdepots.fr,1987-07-11,13055,99100
marolleau                 ,123,MAROLLEAU                 ,,LYDIE        ,male  ,mcf-test@caissedesdepots.fr,1987-07-13,13055,99100
granger                   ,123,GRANGER                   ,,ROMAIN       ,male  ,mcf-test@caissedesdepots.fr,1987-07-16,13055,99100
huet                      ,123,HUET                      ,,MANUEL       ,male  ,mcf-test@caissedesdepots.fr,1987-07-11,13055,99100
leclair                   ,123,LECLAIR                   ,,AURELIE      ,male  ,mcf-test@caissedesdepots.fr,1987-07-14,13055,99100
deroubaix                 ,123,DEROUBAIX                 ,,JULIEN       ,female,mcf-test@caissedesdepots.fr,1987-07-23,13055,99100
carroue                   ,123,CARROUE                   ,,JENNIFER     ,male  ,mcf-test@caissedesdepots.fr,1987-07-14,13055,99100
peltot                    ,123,PELTOT                    ,,JEREMY       ,male  ,mcf-test@caissedesdepots.fr,1987-07-27,13055,99100
brachet                   ,123,BRACHET                   ,,GARY         ,female,mcf-test@caissedesdepots.fr,1987-07-17,13055,99100
rousseau                  ,123,ROUSSEAU                  ,,EMMANUEL     ,male  ,mcf-test@caissedesdepots.fr,1987-07-12,13055,99100
renaudineau               ,123,RENAUDINEAU               ,,CHRISTOPHE   ,female,mcf-test@caissedesdepots.fr,1987-07-13,13055,99100
gallot                    ,123,GALLOT                    ,,BASILE       ,female,mcf-test@caissedesdepots.fr,1987-07-03,13056,99100
palluau                   ,123,PALLUAU                   ,,THIBAUT      ,male  ,mcf-test@caissedesdepots.fr,1987-07-06,13056,99100
goubaud                   ,123,GOUBAUD                   ,,DELPHINE     ,female,mcf-test@caissedesdepots.fr,1987-07-07,13056,99100
gedeau                    ,123,GEDEAU                    ,,JONATHAN     ,male  ,mcf-test@caissedesdepots.fr,1987-07-09,13056,99100
bouilland                 ,123,BOUILLAND                 ,,TERENCE      ,female,mcf-test@caissedesdepots.fr,1987-07-04,13056,99100
pronine                   ,123,PRONINE                   ,,CAROLINE     ,male  ,mcf-test@caissedesdepots.fr,1987-07-12,13056,99100
deniol                    ,123,DENIOL                    ,,JULIEN       ,female,mcf-test@caissedesdepots.fr,1987-07-14,13081,99100
