login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,postal_code,locality,street_address
test_2JEROME,123,BERGERE,,JEROME PIERRE ERIC,male,ydozicah-37762@yopmail.com,123456789,1959-08-15,75112,99100,France,75007,Paris,20 avenue de Ségur
test_2GERALDINE,123,LAMPE,LIT,GERALDINE,female,ducowanet-70062@yopmail.com,123456789,1976-09-21,68066,99100,France,75007,Paris,20 avenue de Ségur
test_2CLEMENT,123,CORSE,,CLEMENT,male,baterollu-53992@yopmail.com,123456789,1991-02-12,2A115,99100,France,75007,Paris,20 avenue de Ségur
test_2PHILIPPE,123,LIT,,PHILIPPE,male,daddalassux-19552@yopmail.com,123456789,1991-02-12,,99137,France,75007,Paris,20 avenue de Ségur
test_2BERTRAND,123,GUERIDON,,BERTRAND,male,uvebaffollo-99132@yopmail.com,123456789,1959-08-15,35118,99100,France,75007,Paris,20 avenue de Ségur
test_2ALAIN,123,BUREAU,,ALAIN,male,raxihuda-05142@yopmail.com,123456789,2003-04-04,75115,99100,France,75007,Paris,20 avenue de Ségur
test_2NICOLAS,123,BUFFET,,NICOLAS,male,ycofolarr-15342@yopmail.com,123456789,1972-01-08,35124,99100,France,75007,Paris,20 avenue de Ségur
test_2CINDY,123,COMMODE,ARMOIRE,CINDY,female,itittotuq-66732@yopmail.com,123456789,1980-06-27,57431,99100,France,75007,Paris,20 avenue de Ségur
test_2DAVID,123,ARMOIRE,,DAVID,male,dicipumo-17822@yopmail.com,123456789,1975-10-28,57530,99100,France,75007,Paris,20 avenue de Ségur
test_2STEPHANE,123,FAUTEUIL,,STEPHANE,male,awakussarri-32872@yopmail.com,123456789,1970-04-10,57253,99100,France,75007,Paris,20 avenue de Ségur
test_2JENNIFER,123,CANAPE,FAUTEUIL,JENNIFER,female,saqetyde-27642@yopmail.com,123456789,1978-05-16,57117,99100,France,75007,Paris,20 avenue de Ségur
test_2WILLIAM,123,BALDAQUIN,,WILLIAM,male,axitamaff-90642@yopmail.com,123456789,1951-08-14,82195,99100,France,75007,Paris,20 avenue de Ségur
