login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,locality,postal_code,street_address
E000001,123,Martin,Martin,Jean_E000001,male,jean_E000001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert

E010001,123,Martin,Martin,Jean_E010001,male,jean_E010001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010002,123,Martin,Martin,Jean_E010002,male,jean_E010002.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010003,123,Martin,Martin,Jean_E010003,male,jean_E010003.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010004,123,Martin,Martin,Jean_E010004,male,jean_E010004.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010005,123,Martin,Martin,Jean_E010005,male,jean_E010005.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010006,123,Martin,Martin,Jean_E010006,male,jean_E010006.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010007,123,Martin,Martin,Jean_E010007,male,jean_E010007.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010008,123,Martin,Martin,Jean_E010008,male,jean_E010008.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010009,123,Martin,Martin,Jean_E010009,male,jean_E010009.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010010,123,Martin,Martin,Jean_E010010,male,jean_E010010.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010011,123,Martin,Martin,Jean_E010011,male,jean_E010011.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010012,123,Martin,Martin,Jean_E010012,male,jean_E010012.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010013,123,Martin,Martin,Jean_E010013,male,jean_E010013.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010014,123,Martin,Martin,Jean_E010014,male,jean_E010014.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010015,123,Martin,Martin,Jean_E010015,male,jean_E010015.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010016,123,Martin,Martin,Jean_E010016,male,jean_E010016.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010017,123,Martin,Martin,Jean_E010017,male,jean_E010017.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E010099,123,Martin,Martin,Jean_E010099,male,jean_E010015.martin@france.fr,0123456789,1981-02-03,75112,99100,France,13016,Marseille,97 Boulevard François Robert

E020001,123,Martin,Martin,Jean_E020001,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020002,123,Martin,Martin,Jean_E020002,,jean_E020001.martin@france.fr,0123456789,,75112,99100,,Marseille,13016,97 Boulevard François Robert
E020003,123,Martin,Martin,Jean_E020003,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,nowhere,99100,France,Marseille,13016,97 Boulevard François Robert
E020004,123,Martin,Martin,Jean_E020004,male,,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020005,123,Martin,Martin,Jean_E020005,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020006,123,Martin,Martin,Jean_E020006,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020007,123,Martin,Martin,Jean_E020007,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020008,123,Martin,Martin,Jean_E020008,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020009,123,Martin,Martin,Jean_E020009,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020010,123,Martin,Martin,Jean_E020010,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020011,123,Martin,Martin,Jean_E020011,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020012,123,Martin,Martin,Jean_E020012,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020013,123,Martin,Martin,Jean_E020013,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020014,123,Martin,Martin,Jean_E020014,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020015,123,Martin,Martin,Jean_E020015,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020016,123,Martin,Martin,Jean_E020016,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020017,123,Martin,Martin,Jean_E020017,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020018,123,Martin,Martin,Jean_E020018,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020019,123,Martin,Martin,Jean_E020019,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
E020020,123,Martin,Martin,Jean_E020020,male,jean_E020001.martin@france.fr,0123456789,1981-02-03,75112,99100,France,Marseille,13016,97 Boulevard François Robert
