login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,locality,postal_code,street_address
Min01,azerty,Assure--essai,Assure--essai,"Paolo, Luigi, Francesco, Gianluca",Male,min01@mail.com,0612345678,1985-12-02,37261,99100,France,Mornant,69440,11 bis Rue Henri-IV
Min02,azerty,Bellaventura--essai,Bellaventura--essai,"Cassandra, Monica, Elena",Female,min02@mail.com,0612345678,1999-08-02,09328,99100,France,Chasselay,69380,"7, le Promenoir"
Min03,azerty,Bellaventura--essai,Bellaventura--essai,"Alessandra, Carla, Giulia",Female,min03@mail.com,0612345678,1968-03-02,54395,99100,France,Chasselay,69380,"7, le Promenoir du long chemin"
Min04,azerty,Bellaventura--essai,Bellaventura--essai,"Federico, Alessandro, Pier-paolo",Male,min04@mail.com,0612345678,1999-06-03,57463,99100,France,Châtillon,69380,"7, le Promenoir de la très longue adresse"
Min05,azerty,Bellaventura--essai,Bellaventura--essai,"Jean-Frédéric, Pierre-Alain, Amalrïck",Male,min05@mail.com,0612345678,2000-09-28,,99415,France,Neuilly sur Lierre,92200,478 chemin dés Accènts coùpliqués et des ï quî ont ça
Min06,azerty,LALI ESSAI,LALI ESSAI,Corne,Female,min06@mail.com,0612345678,1981-12-08,39147,99100,France,Andelot-Morval,39320,"115, route de Saint-Amour"
Min07,azerty,de-trois-quatre essai,de-trois-quatre essai,"Esteban, François, Henri",Male,min07@mail.com,0612345678,2001-12-12,82176,99100,France,La Salvetat-Belmontet,82230,"32, Boulevard de l'eau pétillante"
Min08,azerty,DE LA FAVE ESSAI,DE LA FAVE ESSAI,"MAURICE, BERTRAND, CHARLES",Male,min08@mail.com,0612345678,1945-01-19,19031,99100,France,Layrac,47390,"18, place Jean-Jaurès"
Min09,azerty,Essai,Bellaventura--essai,"Mélina, Léna",Female,min09@mail.com,0612345678,1964-11-18,39351,99100,France,Andelot-Morval,39320,"115, route de Saint-Amour"
Min10,azerty,Essai,Essai,Nahïl,Male,min10@mail.com,0612345678,1965-01-19,69386,99100,France,Andelot-Morval,39320,"117, route de Saint-Amour au bout de la route"
Min11,azerty,BEN ASSARDI ESSAI,BEN ASSARDI ESSAI,"Yasser, Ilian, BADR",Male,min11@mail.com,0612345678,2000-01-12,78440,99100,France,Acquigny,27400,"14, rue Aristide-Briand"
Min12,azerty,Benassar Essai,Benassar Essai,"Ilîas, Abdallah, Ylan",Male,min12@mail.com,0612345678,1968-05-15,33063,99100,France,Arnas,69400,"2, square du Souvenir"
Min13,azerty,de carambar de chamallow de mondelise essai,de carambar de chamallow de mondelise essai,"Anne-Françoise, Caroline, Jacqueline, Anastasia",Female,min13@mail.com,0612345678,1982-02-28,42218,99100,France,La Salvetat-Belmontet,82230,"32, Boulevard de l'eau pétillante"
Min14,azerty,Essai,Essai,"Ali, Iliess, Djibril",Male,min14@mail.com,0612345678,2005-07-08,39312,99100,France,Andelot-Morval,39320,"135, route de Saint-AJour"
Min15,azerty,Essai,Essai,"Noham, Logan",Male,min15@mail.com,0612345678,1967-12-06,39422,99100,France,Andelot-Morval,39320,"175, rue de la reconnaissance de caractères"
Min16,azerty,Essai,Essai,"Louka, Maël",Male,min16@mail.com,0612345678,1981-12-08,39147,99100,France,Andelot-Morval,39320,"115, route de Saint-Amour"
