login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,locality,postal_code,street_address
TestMESFC01,123,CENTUN,,CVCINQUANTECINQ,male,testmesfc01@yopmail.com,123456789,1941-02-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC02,123,baverans,,cvcentun,female,testmesfc02@yopmail.com,123456789,1970-04-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC03,123,lérenne,,énora,female,testmesfc03@yopmail.com,123456789,2004-09-06,29161,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC04,123,LAC-DES-ROUGES-TRUITES,,CVSOIXANTDIXNEUF,male,testmesfc04@yopmail.com,123456789,1996-09-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC05,123,CHAP'ELLE,,DAMIEN,male,testmesfc05@yopmail.com,123456789,2002-02-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC06,123,VILLETTE LES ARBOIS,,CVQUATREVINGTDIXSEPT,female,testmesfc06@yopmail.com,123456789,1976-01-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC07,123,DE CENTUNE,DE CENTUN,CVQUATRE,female,testmesfc07@yopmail.com,123456789,1990-06-10,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC08,123,QUINTIGNY,,CVQUATREVINGTHUIT,male,testmesfc08@yopmail.com,123456789,1987-01-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC09,123,NANCE,,CVQUATREVINGDEUX,male,testmesfc09@yopmail.com,123456789,1990-09-02,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC13,123,JEURRE,,CVCENTTROIS,female,testmesfc13@yopmail.com,123456789,1970-04-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC14,123,DARBONNAY,,CVCENTVINGTQUAT,male,testmesfc14@yopmail.com,123456789,1972-09-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC15,123,CENTVINGT,,CVDOUZE,male,testmesfc15@yopmail.com,123456789,1980-12-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC16,123,CENTVINGT,,CVDIXSEPT,male,testmesfc16@yopmail.com,123456789,1973-01-05,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC17,123,CENTVINGT,,CVDIXNEUF,male,testmesfc17@yopmail.com,123456789,1970-12-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
TestMESFC18,123,CENT UN,,CVONZE,male,testmesfc18@yopmail.com,123456789,1983-06-01,39068,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
