login,password,family_name,preferred_username,given_name,gender,email,phone_number,birthdate,birthplace,birthcountry,country,locality,postal_code,street_address
test_CLEMENT,123,CORSE,,CLEMENT,male,baterollu-5399@yopmail.com,123456789,1991-02-12,2A115,99100,France,Paris,75107,20 avenue de Ségur
test_doublon,123,CASA,,MILA,female,Testcas123@yopmail.com,123456789,1986-01-01,,93100,France,Montreuil,93100,9 rue de l'Eglise
test_doublon1,123,CASA,,MILA,female,Testcas456@yopmail.com,123456789,1986-01-01,,75015,France,Paris,75015,10 rue de l'Opera
test_doublon2,123,CASA,,MILA,female,Testcas678@yopmail.com,123456789,1972-06-26,,75018,France,Paris,75018,45 rue du Pasteur
test_droits,123,DURAND,Fournier,Audrey,female,adurand@yopmail.com,143356789,1978-02-15,75108,99200,France,Paris,75109,20 avenue de Ségur
test_JEROME,123,BERGERE,,JEROME PIERRE ERIC,male,ydozicah-3776@yopmail.com,123456789,1959-08-15,75112,99100,France,Paris,75107,20 avenue de Ségur
test_GERALDINE,123,LAMPE,LIT,GERALDINE,female,ducowanet-7006@yopmail.com,123456789,1976-09-21,68066,99100,France,Paris,75107,20 avenue de Ségur
test_PHILIPPE,123,LIT,,PHILIPPE,male,daddalassux-1955@yopmail.com,123456789,1991-02-12,,99137,France,Paris,75107,20 avenue de Ségur
test_BERTRAND,123,GUERIDON,,BERTRAND,male,uvebaffollo-9913@yopmail.com,123456789,1959-08-15,35118,99100,France,Paris,75107,20 avenue de Ségur
test_ALAIN,123,BUREAU,,ALAIN,male,raxihuda-0514@yopmail.com,123456789,2003-04-04,75115,99100,France,Paris,75107,20 avenue de Ségur
test_NICOLAS,123,BUFFET,,NICOLAS,male,ycofolarr-1534@yopmail.com,123456789,1972-01-08,35124,99100,France,Paris,75107,20 avenue de Ségur
test_CINDY,123,COMMODE,ARMOIRE,CINDY,female,itittotuq-6673@yopmail.com,123456789,1980-06-27,57431,99100,France,Paris,75107,20 avenue de Ségur
test_DAVID,123,ARMOIRE,,DAVID,male,dicipumo-1782@yopmail.com,123456789,1975-10-28,57530,99100,France,Paris,75107,20 avenue de Ségur
test_STEPHANE,123,FAUTEUIL,,STEPHANE,male,awakussarri-3287@yopmail.com,123456789,1970-04-10,57253,99100,France,Paris,75107,20 avenue de Ségur
test_JENNIFER,123,CANAPE,FAUTEUIL,JENNIFER,female,saqetyde-2764@yopmail.com,123456789,1978-05-16,57117,99100,France,Paris,75107,20 avenue de Ségur
test_WILLIAM,123,BALDAQUIN,,WILLIAM,male,axitamaff-9064@yopmail.com,123456789,1951-08-14,82195,99100,France,Paris,75107,20 avenue de Ségur
test_LAURENT,123,COIFFEUSE,,LAURENT,male,xarrinedodd-0173@yopmail.com,123456789,1951-07-20,82195,99100,France,Paris,75107,20 avenue de Ségur
test_ELSA,123,PLACARD,,ELSA,female,ywiwyne-1268@yopmail.com,123456789,1987-04-13,59226,99100,France,Paris,75107,20 avenue de Ségur
test_FABIEN,123,PENDERIE,,FABIEN,male,doqenaxeq-1682@yopmail.com,123456789,1986-03-25,83028,99100,France,Paris,75107,20 avenue de Ségur
test_THIBAULT,123,TABLE,,THIBAULT,male,iffikeppano-9064@yopmail.com,123456789,1991-02-13,75116,99100,France,Paris,75107,20 avenue de Ségur
test_TRACE_USER,123,TRACE_USER,,utilisateur traces,male,aucun@email.com,123456789,1985-01-01,75107,99100,France,Paris,75107,20 avenue de Ségur
test_fusion,123,DUBOIS,,Angela Claire Louis,female,test.fusion.modac@gmail.com,1234567891,1962-08-24,75107,99100,France,Paris,75107,20 avenue de Ségur
post_sc_1_2,123,USAGER UN-DEUX,,Ants,male,usager.1.2@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
post_sc_1_3,123,USAGER UN-TROIS,,Ants,male,usager.1.3@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
post_sc_1_5,123,USAGER UN-CINQ,,Ants,male,usager.1.5@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
post_sc_1_6,123,USAGER UN-SIX,,Ants,male,usager.1.6@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
ante_sc_2_1,123,USAGER DEUX-UN,,Ants,male,usager.2.1@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
ante_sc_2_3,123,USAGER DEUX-TROIS,,Ants,male,usager.2.3@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
antepost_sc_3_1,123,USAGER TROIS-UN,,Ants,male,usager.3.1@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
antepost_sc_3_3,123,USAGER TROIS-TROIS,,Ants,male,usager.3.3@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
ante_sc_4_1,123,USAGER QUATRE-UN,,Ants,male,usager.4.1@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
ante_sc_4_3,123,USAGER QUATRE-TROIS,,Ants,male,usager.4.3@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
ante_sc_4_5,123,USAGER QUATRE-CINQ,,Ants,male,usager.4.5@yopmail.com,123456789,1980-01-01,54000,99100,France,Paris13,75013,101 Rue de Tolbiac
